Year,Team,Opponent,Team_Points,Opponent_Points
2014,michigan-state,mcneese-state,98,56
2014,michigan-state,kentucky,78,74
2014,michigan-state,columbia,62,53
2014,michigan-state,portland,82,67
2014,michigan-state,virginia-tech,96,77
2014,michigan,massachusetts-lowell,69,42
2014,michigan,south-carolina-state,93,59
2014,michigan,iowa-state,70,77
2014,michigan,long-beach-state,85,61
2014,michigan,florida-state,82,80
2014,middle-tennessee,southern,78,75
2014,middle-tennessee,north-florida,77,70
2014,middle-tennessee,akron,80,73
2014,middle-tennessee,arkansas-little-rock,76,59
2014,middle-tennessee,florida,59,79
2014,milwaukee,loyola-il,72,76
2014,milwaukee,davidson,81,77
2014,milwaukee,san-jose-state,64,61
2014,milwaukee,james-madison,77,66
2014,milwaukee,northern-illinois,82,69
2014,milwaukee,depaul,71,80
2014,minnesota,lehigh,81,62
2014,minnesota,montana,84,58
2014,minnesota,richmond,74,59
2014,minnesota,coastal-carolina,82,72
2014,minnesota,wofford,79,57
2014,mississippi,troy,69,54
2014,mississippi,coastal-carolina,72,70
2014,mississippi,mississippi-valley-state,111,82
2014,mississippi-state,prairie-view,71,56
2014,mississippi-state,kennesaw-state,78,55
2014,mississippi-state,mississippi-valley-state,94,72
2014,mississippi-valley-state,oklahoma-state,62,117
2014,mississippi-valley-state,texas-am,67,91
2014,mississippi-valley-state,mississippi-state,72,94
2014,mississippi-valley-state,mississippi,82,111
2014,missouri-state,old-dominion,79,67
2014,missouri-state,tulsa,96,93
2014,missouri-state,grambling,97,67
2014,missouri,southeastern-louisiana,89,53
2014,missouri,southern-illinois,72,59
2014,missouri,hawaii,92,80
2014,missouri-kansas-city,creighton,70,96
2014,missouri-kansas-city,nebraska-omaha,71,101
2014,missouri-kansas-city,tennessee-martin,79,67
2014,monmouth,hofstra,88,84
2014,monmouth,pennsylvania,73,79
2014,monmouth,seton-hall,66,82
2014,monmouth,st-johns-ny,54,64
2014,montana,minnesota,58,84
2014,montana,south-dakota-state,77,69
2014,montana,san-francisco,74,75
2014,montana-state,cal-state-fullerton,55,84
2014,montana-state,california-riverside,67,72
2014,montana-state,cal-state-northridge,73,74
2014,montana-state,central-michigan,59,54
2014,morehead-state,east-tennessee-state,71,63
2014,morehead-state,xavier,56,79
2014,morehead-state,marshall,102,94
2014,morehead-state,northern-kentucky,74,61
2014,morehead-state,ucla,70,81
2014,morgan-state,ohio-state,50,89
2014,morgan-state,towson,75,95
2014,morgan-state,san-diego,61,67
2014,morgan-state,ohio,62,65
2014,morgan-state,la-salle,59,78
2014,mount-st-marys,west-virginia,62,77
2014,mount-st-marys,villanova,59,90
2014,mount-st-marys,brigham-young,76,108
2014,mount-st-marys,maryland-baltimore-county,84,90
2014,mount-st-marys,maryland-eastern-shore,71,78
2014,murray-state,valparaiso,74,77
2014,murray-state,old-dominion,60,70
2014,navy,towson,45,72
2014,navy,saint-francis-pa,57,60
2014,navy,binghamton,68,50
2014,navy,virginia,42,67
2014,nebraska,florida-gulf-coast,79,55
2014,nebraska,western-illinois,62,47
2014,nebraska,south-carolina-state,83,57
2014,nebraska,massachusetts,90,96
2014,nebraska,alabama-birmingham,74,87
2014,nebraska-omaha,northern-illinois,68,66
2014,nebraska-omaha,iowa,75,83
2014,nebraska-omaha,missouri-kansas-city,101,71
2014,nebraska-omaha,nevada-las-vegas,70,73
2014,nebraska-omaha,south-carolina-state,91,59
2014,nevada,pacific,78,80
2014,nevada,cal-poly,60,58
